;name;city;min_salary;max_salary;company;published_at;min_experience;max_experience;schedule;employment;description;conditions;requirement;responsibility;key_skills
4;Программист 1С;Тюмень;40000.0;80000.0;ДИО-Консалт;2019-11-20T10:11:41+0300;1;3;Полный день;Полная занятость;"ООО ДИО-Консалт - официальный партнер фирмы 1С, с удовольствием примет в свою команду талантливых специалистов!Мы занимаемся продажами, обучением и сопровождением во всем известной сфере - программных продуктов 1С, отличающихся широкой популярностью, высочайшим качеством и динамичным развитием! Обязанности:  Администрирование программных продуктов 1С; Написание доработок и обновление конфигураций 1С; Программирование по техническому заданию; Поддержка и консультация пользователей; Участие в масштабных и интересных проектах.  Требования:  Опыт в области разработки на 1С: Предприятие 8.2/8.3; Отличные знания языков программирования; Наличие сертификатов 1С и/или желание их получить; Внимательность к деталям, ответственность, умение работать с большим объемом информации, стремление к саморазвитию.  Преимущества работы у нас:  Дружная и профессиональная команда объединенная общей миссией и ценностями; Достойный оклад + премии, бонусы и надбавки; Поддержка опытных коллег; Профессиональный рост, внутреннее обучение, доступ к корпоративной библиотеке 1С, получение сертификатов 1С за счет компании; Официальное трудоустройство, полный соц. пакет; Пятидневная рабочая неделя с 9 до 18 с плавающим обедом; Уютный светлый офис, комфортная зона отдыха, позитивная атмосфера, корпоративные мероприятия и выезды.  Мы находимся в г. Тюмень, и также рассматриваем кандидатов на удаленную занятость или готовых к переезду.    ";;Опыт в области разработки на 1С: Предприятие 8.2/8.3. Отличные знания языков программирования. Наличие сертификатов 1С...;Администрирование программных продуктов 1С. Написание доработок и обновление конфигураций 1С. Программирование по техническому заданию. Поддержка и консультация пользователей. ;"1С: Предприятие 8; 1С программирование; 1С: Документооборот; Обновление конфигурации 1С; Cистемы управления базами данных; Работа в команде; 1С: Предприятие; 1С: Торговля; 1С: Управление Торговлей"
13;Программист PHP/ Web программист;Екатеринбург;40000.0;80000.0;Юверст;2019-11-20T09:04:24+0300;1;3;Полный день;Полная занятость;"Драйв Проджект - современная компания - более 7 лет успешной работы в Екатеринбурге в сфере разработки интернет решений автомобильной тематики, военной министерства обороны и других областях. Приглашаем на работу человека для работы в должности веб программиста. Совместно будем создавать интересные и нужные людям и государству проекты. Мы предлагаем достойную оплату труда и дополнительные финансовые бонусы за максимальное погружение в работу. Обязанности:  Разработка современных решений на современных языках программирования; Работа с базами данных, написание запросов.  Требования:  Знание HTML‚ PHP, CSS, JS, AJAX, XML, JSON Опыт разработки на PHP, MySQL или альтернативные варианты Фраймворки любые  Условия:  5-и или 6-и дневная рабочая неделя Расположение в центре города Современный офис Несколько графиков работы Возможность зарабатывать больше и не ограничивать себя Рост зарплаты за выслугу лет ";  5-и или 6-и дневная рабочая неделя Расположение в центре города Современный офис Несколько графиков работы Возможность зарабатывать больше и не ограничивать себя Рост зарплаты за выслугу лет ;Знание HTML‚ PHP, CSS, JS, AJAX, XML, JSON. Опыт разработки на PHP, MySQL или альтернативные варианты. Фраймворки любые.;Разработка современных решений на современных языках программирования. Работа с базами данных, написание запросов.;"MySQL; JavaScript; HTML; CSS; jQuery; PHP; Bootstrap; JSON API; HTML5; PHP5"
61;Разработчик .NET/С# (Junior);Новосибирск;40000.0;80000.0;Восток-Сервис-Кузбасс;2019-11-18T07:54:48+0300;0;0;Полный день;Полная занятость;"В Новосибирский филиал ООО Восток-Сервис-Кузбасс требуется разработчик .NET/С# для работы с веб-проектами. В связи с расширением штата и объема работы, готовы рассмотреть разработчиков, не имеющих опыт. Требования:  первоначальные знания C#, ASP.NET MVC, SQL и большое желание учиться и развиваться как .NET разработчик первоначальные знания и практический опыт работы с JavaScript, AJAX, jQuery желание обучаться и развиваться умение работать в команде  Мы предлагаем:  официальное трудоустройство и соц. пакет; возможность развития и карьерного роста; внеочередной оплачиваемый отпуск на время сессии (если Вы учитесь); комфортный офис в центре города и дружный коллектив удаленная работа исключена.  Резюме отправлять на электронный адрес, в теме письма указывать Разработчик .NET/С#.";"  официальное трудоустройство и соц. пакет; возможность развития и карьерного роста; внеочередной оплачиваемый отпуск на время сессии (если Вы учитесь); комфортный офис в центре города и дружный коллектив удаленная работа исключена.  Резюме отправлять на электронный адрес, в теме письма указывать Разработчик .NET/С#.";Первоначальные знания C#, ASP.NET MVC, SQL и большое желание учиться и развиваться как .NET <highlighttext>разработчик</highlighttext>. Первоначальные знания и практический опыт...;;"C#; JavaScript; ASP.NET; MVC; jQuery; SQL"
66;Frontend разработчик;Новосибирск;40000.0;80000.0;Вакио;2019-11-19T10:05:58+0300;1;3;Полный день;Полная занятость;"ВНИМАНИЕ! Сотрудник ТОЛЬКО штат! Удаленную работу не рассматриваем.   Один очень крутой и востребованный продукт - система вентиляции и очистки воздуха Vakio, хочет усилить отдел маркетинга Front-end разработчиком. Вместе мы спасем не только нашу страну, но и весь мир. Будь нашим собратом по оружию. У нас очень круто:   Внутри компании только демократичный стиль общения. Какие еще барьеры, бюрократия и офисная политика? Нет таких. У нас все открыты для диалога;   Инициативность каждого поощряется особенно искренне и положительно;   Твой карьерный и профессиональный рост – наш приоритет;   Час в день на развитие профессиональных навыков – выделяешь, читаешь, смотришь, слушаешь, учишься;   Интересные и веселые корпоративные мероприятия;   Рабочие места отличает комфорт, а на мини-кухнях всегда есть чай и кофе.   Адрес, время, про официальность:   Офис рядом с метро Гагаринская (12 минут пешком)   График работы с 9:00 или с 10:00;   Оформление по нормам ТК и классная зарплата (оклад + бонусы) – всегда вовремя;   Уровень заработной платы обсуждается индивидуально при личной встрече.   Умеешь, знаешь, обладаешь?   Обстрелян в бою и вообще твой опыт реален – хотя бы годика два, как минимум;   Кроссбраузерная аккуратная верстка дизайн-макетов;   Уверенно знаешь HTML5, CSS3 (Flexbox / Grid) и прочие jQuery.   Создаешь мобильные версии сайтов;   Умеешь верстать HTML + CSS, пользуешься препроцессором SASS. Знаешь CSS-фреймворк Bootstrap;   Знаешь WordPress на уровне правки темы;   Развернешь локальную копию сайта;   Знаешь основные принципы юзабилити.   А еще ты и у тебя:   Горящие глаза, ответственность, и понимание важности поставленных задач (мотивация, интерес, креатив, безграничная мудрость и т.д. и т.п.);   Хочешь учиться новым боевым приемам и техникам, а также умеешь GoogleИТЬ в поиске ответов на возникающие вопросы.   Будут плюсом:   Знания и опыт работы с React Native, RoR, Node.js;   Опыт использования паттернов любого из JavaScript фреймворков;   Знание и понимание css-препроцессоров;   Работа со сборщиком проекта;   Умение просто и доходчиво объяснять сложные вещи;   Реалистичное прогнозирование сроков и сил для решения поставленных задач;   Чувство юмора   Заинтересован? Присылай свое резюме и ссылку на свой самый удачный проект! Ты нужен нам, боевой товарищ! Vakio нуждается в тебе!";;Инициативность каждого поощряется особенно искренне и положительно. Обстрелян в бою и вообще твой опыт реален – хотя бы годика два, как...;Развернешь локальную копию сайта. Хочешь учиться новым боевым приемам и техникам, а также умеешь GoogleИТЬ в поиске ответов на возникающие...;"HTML; Sass; JavaScript; jQuery; CSS3; Bootstrap; HTML5; CSS; Node.js; Кроссбраузерная верстка; CMS Wordpress; Креативность; Adobe Photoshop; Less; CorelDRAW; Грамотная речь; Грамотность; Управление временем; IBM Lotus Notes; Mac Os"
24;Программист 1С;Тюмень;50000.0;80000.0;ГК ТюмБИТ;2019-10-29T10:55:43+0300;0;0;Полный день;Полная занятость;"Задачи:  Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион); Программирование в среде 1С: Предприятие 8; Работа с техническими заданиями через консультантов 1С, т.е. без общения с клиентами; Выполнение сложных и интересных задач  Мы ищем сотрудника с:  Образованием: высшее/ неполное высшее Знанием основ программирования на платформе 1С Стремлением к профессиональному росту Высокой работоспособностью и стрессоустойчивостью Умением работать в коллективе  Мы предлагаем:  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";"  Интересные и разносторонние задачи. Стабильная‚ официальная‚ конкурентоспособная заработная плата. Пятидневная рабочая неделя, рабочий день: 9:00-18:00 Оформление по ТК РФ. Уютный офис в центре города. Молодой и дружный коллектив из профессионалов своего дела; Возможности обучения и сертификации для сотрудников компании Корпоративные мероприятия ";Образованием: высшее/ неполное высшее. Знанием основ программирования на платформе 1С. Стремлением к профессиональному росту. Высокой работоспособностью и стрессоустойчивостью. ;Участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ООО 1С-Медицина-Регион). Программирование в среде 1С...;"1С программирование; 1С: Предприятие 8; 1С: Медицина"
56;Разработчик бизнес-решений;Тюмень;50000.0;80000.0;Систем-Консалт;2019-11-20T08:54:55+0300;1;3;Полный день;Полная занятость;"Задачи в работе:  разработка бизнес-решений на базе системы DIRECTUM и DirectumRX на проектах внедрения и сопровождения; проектирование архитектуры заказных систем (анализ функциональных и не функциональных требований, анализ архитектуры существующих информационных систем заказчика); разработка интеграции с информационными системами заказчика; разработка механизмов миграции данных из сторонних информационных систем.  Требования к соискателю:  глубокое понимание объектно-ориентированного программирования; опыт разработки ПО на Delphi / .NET / C#; опыт работы с базами данных; опыт проектирования приложений/информационных систем; умение анализировать требования и разбираться в потребностях заказчика.  Приветствуются следующие знания и навыки:  опыт разработки на JavaScript; опыт работы с MS SQL Server, PostgreSQL; разработка и сопровождение систем документооборота либо других информационных систем предприятия; опыт работы c предметно-ориентированными средами разработки (1С, Microsoft Dynamics, DIRECTUM); знание основ построения бизнес-процессов предприятий.  Работая у нас, вы получите:  стабильную заработную плату (уровень обсуждается с финальными кандидатами); работу в масштабных долгосрочных проектах с крупными клиентами, интересные сложные задачи в области искусственного интеллекта; возможны командировки по Тюменской области и России; обучение за счет компании, сертификация, возможность постоянно расти и развиваться; наличие наставника в период адаптации; возможность прокачаться в различных бизнес-областях; график работы 5/2 с 09:00-18:00; официальное трудоустройство по ТК РФ; офис расположен в центре города, удобная транспортная развязка; отличную команду профессионалов, с которыми хочется двигаться только вперёд! ";;Глубокое понимание объектно-ориентированного программирования. Опыт разработки ПО на Delphi / .NET / C#. Опыт работы с базами данных. Опыт проектирования приложений...;Разработка бизнес-решений на базе системы DIRECTUM и DirectumRX на проектах внедрения и сопровождения. Проектирование архитектуры заказных систем (анализ функциональных...;"C#; .NET Framework; Delphi; Работа с базами данных; PostgreSQL; MS SQL Server; Работа в команде; Проектирование"
65;Web-разработчик на Bitrix;Новосибирск;50000.0;80000.0;Ай Ти Констракт;2019-11-20T07:19:15+0300;1;3;Полный день;Полная занятость;"Хватит сидеть на попе ровно. Приходи в крутую компанию работать над сложными задачами! (их много и мы готовы поделиться) Работа в стабильной компании, лидере партнерской сети 1С-Битрикс, где рядом с тобой сидят настоящие профессионалы, а зарплата своевременна и не ограничена по потолку.   Что у нас есть:  отличные условия для профессионального роста: отлаженная система обучения, помощь коллег, возможность проходить профессиональные курсы. Мы – как Xzibit: научились прокачивать программистов за короткий срок; интересные разнообразные задачи, которые не дадут устать от рутины. Чем круче ваш уровень, тем круче задачи вам достаются; реально дружный коллектив, позитивная рабочая атмосфера; комфортные рабочие условия; справедливая система вознаграждения, которая чётко коррелирует с вашим профессиональным уровнем; зарплата всегда вовремя, как швейцарские часы; всегда приветствуются инициативы по улучшениям; адекватное руководство; трудоустройство согласно ТК РФ, социальный пакет; офис рядом с ТРК Горский, 500 метров от метро: хватает, чтобы размяться, но не хватает, чтобы устать от дороги.    Чего у нас нет:  лишней бюрократии; принуждения работать до потери пульса: у нас стандартный 8-часовой рабочий день с перерывом на обед 1 час.    Все это можно увидеть своими глазами, если прийти к нам на собеседование.   Что нужно делать:  разработка и доработка проектов и сервисов на основе CMS 1C-Битрикс; выполнение сопровождения сайтов в рамках абонентского обслуживания и разовых обращений; разработка модулей для 1C-Битрикс; участие в архитектурном проектировании сайтов; интеграция сайтов с различными сторонними сервисами (1С, платежные системы, кассы и пр.).    Что ждем от вас:  знание и опыт разработки на 1С-Битрикс; хорошее знание PHP (в том числе ООП); хорошее знание MySQL, понимание принципов оптимизации запросов БД; знание HTML/CSS/JS/jQuery. Верстать не нужно, но какие-то мелочи надо уметь сделать самостоятельно; опыт работы с системами контроля версий. Мы используем git на наших проектах.    Если вы опытный разработчик и не знаете Битрикс, но хотите узнать, тоже приходите – научим.";;Знание и опыт разработки на 1С-Битрикс. Хорошее знание PHP (в том числе ООП). Хорошее знание MySQL, понимание принципов...;Разработка и доработка проектов и сервисов на основе CMS 1C-Битрикс. Выполнение сопровождения сайтов в рамках абонентского обслуживания и...;"1С-Битрикс; PHP; HTML; CSS; JavaScript; PHP5; MySQL; Git"
26;Программист;Москва;55000.0;80000.0;Media Instinct Group;2019-11-20T12:17:56+0300;0;0;Полный день;Полная занятость;В медийном рекламном агентстве Media Instinct, входящем в OMD OM Group, открыта позиция Программиста в отделе стратегического медиапланирования и исследований. Задачи:  - Поддержка существующих БД и создание новых БД на базе MS SQL,- Развитие существующего собственного ПО и создание нового,- Поддержка пользователей по базам в MS SQL и ПО. Требования:- MS SQL (создание баз, написание процедур, функций, сложные запросы),- C++,- QT Creator (желательно QT activex). Условия:  Работа в динамично развивающейся компании. Достойная белая заработная плата. Перспективы профессионального и личностного роста. Оформление согласно ТК РФ. Социальный пакет (ДМС, английский язык в офисе). Молодой дружный коллектив профессионалов. Чай/кофе, фрукты и сладости в офисе. Офис расположен в 5 минутах ходьбы от м. Молодежная.   ;  Работа в динамично развивающейся компании. Достойная белая заработная плата. Перспективы профессионального и личностного роста. Оформление согласно ТК РФ. Социальный пакет (ДМС, английский язык в офисе). Молодой дружный коллектив профессионалов. Чай/кофе, фрукты и сладости в офисе. Офис расположен в 5 минутах ходьбы от м. Молодежная.   ;C++.;Поддержка существующих БД и создание новых БД на базе MS SQL. - Развитие существующего собственного ПО и создание нового. - ;
84;Java-разработчик;Тюмень;60000.0;80000.0;Сервис заказа такси Максим;2019-11-18T14:25:59+0300;1;3;Полный день;Полная занятость;"Максим ищет разработчиков в Екатеринбурге, Челябинске, Тюмени и Кургане. Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. Что нужно делать: Разрабатывать и сопровождать системы отчётности и бизнес-процессов. Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше); - знает реляционные СУБД (PostgreSQL или SQL Server), SQL и MongoDB. Будет плюсом: - знание системы отчётности Eclipse BIRT и платформы Eclipse в целом; - знание движков бизнес-процессов Alfresco Activiti и Flowable; - знание Java EE (JMS, JAX-RS, JAX-WS) и Spring (Framework, Boot, Data, Security); - знание и опыт работы с Linux, Git. Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - хорошо владеет языком программирования Java (JDK 1.8 и выше). - знает реляционные СУБД (PostgreSQL или...;Разрабатывать и сопровождать системы отчётности и бизнес-процессов.;"Java; Linux; MS SQL Server; SQL; Eclipse"
57;Junior developer С#;Новосибирск;60000.0;80000.0;Лайко Алексей Константинович;2019-11-17T22:23:07+0300;1;3;Полный день;Полная занятость;О нас: Небольшая команда разработчиков, занимаемся разработкой ИИ, машинным обучением. Расширяемся, открываем Новосибирский офис.Обязанности:   Разработка алгоритмов искусственного интеллекта Изучение научных статей Разработка юнит-тестов и систем тестирования  Требования:  C# Владение английским на уровне чтения научной литературы. Высшее (неоконченное высшее) математическое или техническое образование, математический склад ума.  Плюсами будут:   С++ Python Опыт работы с git Опыт написания юнит-тестов и интеграционных тестов  Мы предлагаем:  Офис со всем необходимым в центре города рядом с метро Устройство по ТК Гибкое время работы  Этапы общения:  Выдаем тестовое задание. Собеседование по скайпу. Приглашаем в гости к нам в офис, чтобы познакомиться поближе, рассказать о нас подробнее и ответить на все вопросы. ;  Офис со всем необходимым в центре города рядом с метро Устройство по ТК Гибкое время работы  Этапы общения:  Выдаем тестовое задание. Собеседование по скайпу. Приглашаем в гости к нам в офис, чтобы познакомиться поближе, рассказать о нас подробнее и ответить на все вопросы. ;C#. Владение английским на уровне чтения научной литературы. Высшее (неоконченное высшее) математическое или техническое образование, математический склад ума. С++. Python. ;Разработка алгоритмов искусственного интеллекта. Изучение научных статей. Разработка юнит-тестов и систем тестирования.;"C#; Английский язык"
20;Программист С#;Екатеринбург;70000.0;80000.0;Сеть кинотеатров Премьер-Зал;2019-11-18T11:41:47+0300;1;3;Полный день;Полная занятость;"Сети кинотеатров Премьер зал нужен идейный и творческий разработчик.В нашей компании мы разрабатываем большие и интересные проекты.Мы ищем специалиста с опытом разработки C# Требования: - профильное образование: IT, техническое; - опыт разработки на C#; - умение писать SQL-запросы; - опыт работы с WPF, ASP.NET MVC, T-SQL, Entity Framework, Web API; - дополнительным плюсом будут знание и опыт работы с: jQuery, AngularJS, Android SDK или Xamarin; - готовность работать в режиме многозадачности. Обязанности: - разработка и поддержка Back-end и Front-end приложений под Windows и Microsoft Azure; - расширение перечня поддерживаемого торгового оборудования; - разработка Web-виджетов на сайт; - ведение документации Мы предлагаем вам:  официальное трудоустройство согласно ТК РФ; интересные задачи; дружный и молодой коллектив; работа на постоянной основе   ЗП 2 раза в месяц, без задержек, Вся белая  Если Вы настоящий программист, любите свое дело, интересуетесь новыми технологиями и ищете стабильное, постоянное место работы, то мы будем рады рассмотреть Ваше резюме.";;профильное образование: IT, техническое. - опыт разработки на C#. - умение писать SQL-запросы. - опыт работы с WPF, ASP.NET MVC, T-SQL...;разработка и поддержка Back-end и Front-end приложений под Windows и Microsoft Azure. - расширение перечня поддерживаемого торгового оборудования. - ;"C#; ASP.NET; WPF; SQL"
81;Программист 1C/специалист технической поддержки;Новосибирск;70000.0;80000.0;ГазОйл;2019-11-18T09:25:00+0300;0;0;Полный день;Полная занятость;"Обязанности:  техническая поддержка пользователей по программным продуктам: УПП 1.3, ЗУП 2.5, ЗУП 3.1, БП 3.0; поиск и устранение ошибок в существующих механизмах, обменах, поддержка обменов. Чем, в основном, будет заниматься: 1. получить задачу от пользователя; 2. выполнить; 3. проинформировать пользователя.   Требования:  высшее техническое образование; знание 1С: Предприятие ( УПП 1.3, ЗУП 2.5, ЗУП 3.1, БП 3.0); знание конфигурации Конвертация данных 2.1; умение читать чужой код; желательно базовые знания бух. учета.  Условия:  место работы - в одном из офисов: г. Новосибирск, ул. Толмачевская или г. Барнаул, ул. Северо-Западная ; график работы пятидневный с 08.00 до 17.00 ч.; при наличии результатов в работе на протяжении 6 мес. возможно в дальнейшем перейти на работу в режиме home-office. ";"  место работы - в одном из офисов: г. Новосибирск, ул. Толмачевская или г. Барнаул, ул. Северо-Западная ; график работы пятидневный с 08.00 до 17.00 ч.; при наличии результатов в работе на протяжении 6 мес. возможно в дальнейшем перейти на работу в режиме home-office. ";Высшее техническое образование. Знание 1С: Предприятие ( УПП 1.3, ЗУП 2.5, ЗУП 3.1, БП 3.0). ;Техническая поддержка пользователей по программным продуктам: УПП 1.3, ЗУП 2.5, ЗУП 3.1, БП 3.0. ;"1С: Бухгалтерия; 1С: Предприятие 8; 1С: Зарплата и управление персоналом; 1С: Документооборот; 1С: Розница"
74;Программист C/С++;Москва;80000.0;80000.0;НТЦ ГОСАН;2019-11-20T11:48:14+0300;3;6;Полный день;Полная занятость;Обязанности:   Адаптация существующего кода для работы под ОС Linux   Доработка различных частей существующего кода в соответствии с требованиями  Участие в проектировании архитектуры ПО  Поддержка существующего кода   Требования:   уверенное владение языком С/С++  опыт программирования под ОС Linux обязателен опыт отладки многопоточных приложений  умение разобраться в чужом коде   желательны знания в электроэнергетике, знание протоколов семейства TCP/IP‚ опыт разработки сетевых приложений   приветствуется опыт программирования систем реального времени   Условия:   График работы: с 09.00 до 18.00   Полный соц.пакет.  ;   График работы: с 09.00 до 18.00   Полный соц.пакет.  ;Уверенное владение языком С/С++. Опыт программирования под ОС Linux. Обязателен опыт отладки многопоточных приложений. Умение разобраться в чужом коде. ;Адаптация существующего кода для работы под ОС Linux. Доработка различных частей существующего кода в соответствии с требованиями. Участие в проектировании...;"Linux; TCP/IP; C++; C/C++"
73;WEB Разработчик, PHP Программист YII 2;Санкт-Петербург;80000.0;80000.0;Вимос, торговый дом;2019-11-20T15:31:21+0300;1;3;Полный день;Полная занятость;"Обязанности:  Задачи по доработке функционала интернет магазина. Доработка корпоративного портала. Интеграция с различными системами и сервисами по API.   Требования:  Ищем PHP программиста в штат со знанием фреймворка YII 2 Опыт работы с JQuery. Опыт совместной работы, умение быстро понимать чужой код, комментировать свой  У нас Git (Bitbucket) JSON API Опыт тестирования и документирования. Желательно опыт работы с Интернет магазинами, а так же Bitrix продуктами, но не обязательно. Работа в офисе не удаленная на постоянной основе. Опыт работы не менее 2 лет.    Условия:  Работа в крупной, динамично развивающейся федеральной сети; Светлый просторный офис Молодая дружная команда профессионалов Оформление в соответствии с Трудовым Кодексом РФ Льготное питание график работы 5/2 (выходные суббота и воскресенье), с 10*00 до 18*00 100% белая заработная плата, выплата 2 раза в месяц ";"  Работа в крупной, динамично развивающейся федеральной сети; Светлый просторный офис Молодая дружная команда профессионалов Оформление в соответствии с Трудовым Кодексом РФ Льготное питание график работы 5/2 (выходные суббота и воскресенье), с 10*00 до 18*00 100% белая заработная плата, выплата 2 раза в месяц ";Ищем PHP <highlighttext>программиста</highlighttext> в штат со знанием фреймворка YII 2. Опыт работы с JQuery. Опыт совместной работы, умение быстро понимать...;Задачи по доработке функционала интернет магазина. Доработка корпоративного портала. Интеграция с различными системами и сервисами по API.;
